p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,p5_x,p5_y
2.49,10,9.06,10,2.26,10,1.81,10,1.55,10
2.49,3.4,9.06,3.9,2.62,3,1.81,2,1.55,2.2
2.49,3.2,9.06,2,2.62,2.8,1.74,1.8,1.55,2
2.49,3,9.09,1.8,2.75,2.6,1.78,1.6,1.62,1.8
2.66,2.8,9.13,1.6,2.84,2.4,1.83,1.4,1.74,1.6
2.85,2.6,8.85,1.4,2.93,2.2,1.82,1.2,1.68,1.4
3.16,2.4,9.01,1.2,2.85,2,1.66,1,1.77,1.2
3.22,2.2,9.39,1,2.81,1.8,1.12,0.8,1.78,1
3.18,2,8.9,0.8,2.76,1.6,1.17,0.6,1.76,0.8
3.25,1.8,9.3,0.6,2.72,1.4,1.28,0.4,1.69,0.6
3.26,1.6,9.5,0.4,2.83,1.2,1.45,0.2,1.59,0.4
3.4,1.4,9.31,0.2,1.73,1,1.45,0,1.79,0.2
3.34,1.2,9.31,0,2.41,0.8,3.3,0,1.79,0
3.34,1,10.37,0,2.47,0.6,3.3,0.2,2.77,0
3.24,0.8,10.37,0.2,2.47,0.4,3.5,0.4,2.77,0.2
2.4,0.6,10.42,0.4,2.47,0.2,3.1,0.6,2.78,0.4
2.56,0.4,10.22,0.6,2.47,0,3.68,0.8,2.62,0.6
2.78,0.2,10.15,0.8,3.17,0,2.65,1,2.52,0.8
2.78,0,10.15,1,3.17,0.2,2.52,1.2,2.54,1
4.25,0,10.33,1.2,3.17,0.4,2.48,1.4,2.63,1.2
4.25,0.2,10.63,1.4,3.07,0.6,2.5,1.6,2.6,1.4
4.33,0.4,10.88,1.6,3.06,0.8,2.5,1.8,2.5,1.6
4.52,0.6,10.52,1.8,3.18,1,2.55,2,2.5,1.8
4,0.8,10.51,2,3.3,1.2,2.55,10,2.64,2
3.89,1,10.22,3.9,3.41,1.4,NA,NA,2.64,2.2
3.74,1.2,10.07,10,3.46,1.6,NA,NA,2.64,10
3.81,1.4,NA,NA,3.45,1.8,NA,NA,NA,NA
3.86,1.6,NA,NA,3.45,2,NA,NA,NA,NA
3.88,1.8,NA,NA,3.46,2.2,NA,NA,NA,NA
3.78,2,NA,NA,3.41,2.4,NA,NA,NA,NA
4,2.2,NA,NA,3.64,2.6,NA,NA,NA,NA
3.9,2.4,NA,NA,3.74,2.8,NA,NA,NA,NA
3.8,2.6,NA,NA,3.74,3,NA,NA,NA,NA
3.8,2.8,NA,NA,3.74,10,NA,NA,NA,NA
3.81,3,NA,NA,NA,NA,NA,NA,NA,NA
3.81,3.2,NA,NA,NA,NA,NA,NA,NA,NA
3.81,3.4,NA,NA,NA,NA,NA,NA,NA,NA
3.81,10,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
